deployments,CPU_REQUESTS,CPU_95,CPU_95_MARGEN,CPU_REQUEST_CORRECTO,CPU_SUBASIGNADO,CPU_SOBREASIGNADO,SIN_ASIGNAR_CPU,MEMORY_REQUESTS_in_MB,Memory_95,MEMORY_95_MARGEN,MEMORY_REQUEST_CORRECTO,MEMORY_SUBASIGNADO,MEMORY_SOBREASIGNADO,SIN_ASIGNAR_MEMORY
deploy1,0.1,0.0058,0.0067,False,False,True,False,209.72,482.75,555.16,False,True,False,False
deploy2,0.1,0.0114,0.0131,False,False,True,False,209.72,2338.59,2689.38,False,True,False,False
deploy3,0.3,0.0058,0.0067,False,False,True,False,3145.74,342.24,393.58,False,False,True,False
deploy4,0.3,0.0596,0.0685,False,False,True,False,314.57,231.76,266.52,False,False,True,False
deploy5,0.1,0.0254,0.0292,False,False,True,False,367.0,570.16,655.68,False,True,False,False
deploy6,0.05,0.0062,0.0071,False,False,True,False,209.72,195.98,225.38,True,False,False,False
deploy7,0.05,0.0047,0.0054,False,False,True,False,209.72,167.05,192.11,False,False,True,False
deploy8,0.05,0.0056,0.0064,False,False,True,False,209.72,172.05,197.86,False,False,True,False
deploy9,0.05,0.0145,0.0167,False,False,True,False,209.72,215.69,248.04,False,True,False,False
deploy10,0.05,0.0051,0.0059,False,False,True,False,209.72,165.11,189.88,False,False,True,False
deploy11,0.02,0.018,0.0207,True,False,False,False,2097.16,333.48,383.5,False,False,True,False
deploy12,0.1,0.0047,0.0054,False,False,True,False,209.72,269.55,309.98,False,True,False,False
deploy13,0.3,0.0022,0.0025,False,False,True,False,838.86,113.54,130.57,False,False,True,False
deploy14,0.3,0.0036,0.0041,False,False,True,False,838.86,122.88,141.31,False,False,True,False
deploy15,0.5,0.006,0.0069,False,False,True,False,734.01,669.7,770.16,True,False,False,False
deploy16,0.05,0.0052,0.006,False,False,True,False,629.15,369.04,424.4,False,False,True,False
deploy17,0.1,0.0043,0.0049,False,False,True,False,157.29,173.23,199.21,False,True,False,False
deploy18,0.1,0.0589,0.0677,False,False,True,False,209.72,390.93,449.57,False,True,False,False
deploy19,0.1,0.0048,0.0055,False,False,True,False,209.72,367.7,422.85,False,True,False,False
deploy20,0.1,0.2247,0.2584,False,True,False,False,262.15,524.15,602.77,False,True,False,False
deploy21,0.1,0.0044,0.0051,False,False,True,False,209.72,327.21,376.29,False,True,False,False
deploy22,0.1,0.0039,0.0045,False,False,True,False,367.0,248.42,285.68,False,False,True,False
deploy23,0.1,0.1963,0.2257,False,True,False,False,209.72,445.9,512.78,False,True,False,False
deploy24,0.1,0.0162,0.0186,False,False,True,False,209.72,1744.84,2006.57,False,True,False,False
deploy25,0.1,0.0081,0.0093,False,False,True,False,209.72,311.9,358.68,False,True,False,False
deploy26,0.05,0.0174,0.02,False,False,True,False,104.86,149.63,172.07,False,True,False,False
deploy27,0.05,0.1004,0.1155,False,True,False,False,104.86,240.73,276.84,False,True,False,False
deploy28,0.05,0.0754,0.0867,False,True,False,False,419.43,370.3,425.84,True,False,False,False
