deployment,percentil_95_en_datos_CPU,percentil_95_predecido_CPU,porcentaje_diferencia_CPU,percentil_95_en_datos_Memory,percentil_95_predecido_Memory,porcentaje_diferencia_Memory
deploy1,0.0058,0.0059,1.72,450.97,475.61,5.46
deploy2,0.0107,0.0096,-10.28,4972.45,4484.95,-9.8
deploy3,0.0056,0.0056,0.0,277.03,277.13,0.04
deploy4,0.0631,0.0626,-0.79,242.43,244.08,0.68
deploy5,0.0252,0.0254,0.79,650.34,692.9,6.54
deploy6,0.0093,0.0093,0.0,192.45,193.42,0.5
deploy7,0.004,0.0041,2.5,160.67,160.15,-0.32
deploy8,0.0046,0.2151,4576.09,165.93,166.82,0.54
deploy9,0.0237,0.0521,119.83,212.06,215.79,1.76
deploy10,0.005,0.0049,-2.0,147.7,148.65,0.64
deploy11,0.0193,0.0191,-1.04,390.38,390.04,-0.09
deploy12,0.0046,0.0045,-2.17,259.54,260.16,0.24
deploy13,0.0021,0.0023,9.52,110.8,112.45,1.49
deploy14,0.0025,0.0028,12.0,125.27,124.2,-0.85
deploy15,0.0061,0.0066,8.2,551.97,615.78,11.56
deploy16,0.0054,0.0054,0.0,297.1,298.28,0.4
deploy17,0.0042,0.0041,-2.38,205.95,206.99,0.5
deploy18,0.0507,0.0521,2.76,415.44,414.58,-0.21
deploy19,0.0043,0.0043,0.0,356.09,355.96,-0.04
deploy20,0.2149,0.2215,3.07,563.16,550.03,-2.33
deploy21,0.0042,0.0042,0.0,284.11,283.89,-0.08
deploy22,0.004,0.004,0.0,186.85,191.34,2.4
deploy23,0.1861,0.1841,-1.07,430.91,432.09,0.27
deploy24,0.0178,0.0183,2.81,1796.02,1800.58,0.25
deploy25,0.0081,0.0085,4.94,348.64,348.74,0.03
deploy26,0.0156,0.0184,17.95,149.46,150.38,0.62
deploy27,0.108,0.1073,-0.65,244.95,245.22,0.11
deploy28,0.071,0.0715,0.7,328.85,328.19,-0.2
deploy29,0.5403,0.5296,-1.98,478.32,501.54,4.85
deploy30,0.4686,0.4774,1.88,614.91,672.18,9.31
deploy31,0.1983,0.4287,116.19,272.79,276.21,1.25
deploy32,0.1146,0.1213,5.85,249.15,241.23,-3.18
deploy33,0.0223,0.0237,6.28,441.6,442.9,0.29
deploy34,0.006,0.006,0.0,311.45,311.87,0.13
deploy35,0.0371,0.0422,13.75,490.08,494.3,0.86
deploy36,0.0066,0.0066,0.0,311.08,315.19,1.32
deploy37,1.8513,2.0654,11.56,390.29,382.81,-1.92
deploy38,0.0037,0.0038,2.7,145.21,145.28,0.05
deploy39,0.0039,0.004,2.56,189.38,188.86,-0.27
deploy40,0.0008,0.0011,37.5,218.77,218.64,-0.06
deploy41,0.0167,0.0195,16.77,152.03,153.27,0.82
deploy42,0.0141,0.0147,4.26,237.75,240.1,0.99
deploy43,0.0306,0.0306,0.0,11998.82,12047.86,0.41
deploy44,0.0112,0.0154,37.5,1436.4,1491.72,3.85
deploy45,0.0148,0.0277,87.16,478.58,480.47,0.39
deploy46,0.0101,0.01,-0.99,207.88,207.66,-0.11
deploy47,0.0225,0.0236,4.89,450.32,446.38,-0.87
deploy48,0.3143,0.3511,11.71,4505.43,4552.62,1.05
deploy49,0.0086,0.0095,10.47,80.2,81.67,1.83
deploy50,0.0005,0.001,100.0,54.73,50.62,-7.51
deploy51,0.1838,0.1784,-2.94,759.64,720.48,-5.16
deploy52,0.0122,0.0122,0.0,340.67,340.73,0.02
deploy53,0.0723,0.0754,4.29,1791.94,1794.88,0.16
deploy54,0.0163,0.0161,-1.23,340.16,340.73,0.17
deploy55,0.042,0.0748,78.1,395.22,394.98,-0.06
deploy56,0.5477,0.536,-2.14,497.13,519.86,4.57
deploy57,0.0131,0.0131,0.0,364.98,366.11,0.31
deploy58,0.0036,0.0038,5.56,219.07,219.03,-0.02
deploy59,0.1405,0.1376,-2.06,974.82,981.5,0.69
deploy60,0.0171,0.017,-0.58,243.94,243.18,-0.31
deploy61,0.0461,0.0479,3.9,198.54,202.99,2.24
deploy62,0.0995,0.0988,-0.7,170.35,170.23,-0.07
deploy63,0.2173,0.2204,1.43,398.48,400.09,0.4
deploy64,0.0067,0.0069,2.99,155.93,155.99,0.04
deploy65,0.0106,0.0146,37.74,674.97,711.62,5.43
deploy66,0.0096,0.0099,3.13,1777.87,1814.65,2.07
deploy67,0.1739,0.177,1.78,282.77,278.46,-1.52
deploy68,0.0082,0.0085,3.66,194.78,199.1,2.22
deploy69,0.0551,0.0561,1.81,346.75,347.35,0.17
deploy70,0.0641,0.0688,7.33,478.65,487.52,1.85
deploy71,0.1325,0.1538,16.08,575.21,603.57,4.93
deploy72,0.0055,0.0053,-3.64,199.94,199.09,-0.43
deploy73,0.0131,0.0129,-1.53,263.56,253.83,-3.69
deploy74,0.0068,0.0072,5.88,352.92,353.74,0.23
deploy75,0.0209,0.0228,9.09,366.2,408.25,11.48
deploy76,0.0077,0.0078,1.3,355.34,358.98,1.02
deploy77,0.6403,0.602,-5.98,1746.09,1792.37,2.65
deploy78,0.0931,0.0939,0.86,883.18,904.02,2.36
deploy79,0.0205,0.0206,0.49,375.55,377.96,0.64
deploy80,0.0562,0.0794,41.28,3801.61,4022.56,5.81
deploy81,0.0574,0.0586,2.09,1234.72,1207.76,-2.18
deploy82,0.0234,0.025,6.84,345.81,347.25,0.42
deploy83,0.0049,0.0048,-2.04,182.18,181.94,-0.13
deploy84,0.0478,0.0518,8.37,390.47,388.81,-0.43
deploy85,0.0052,0.0049,-5.77,326.46,326.46,0.0
deploy86,0.1155,0.3003,160.0,1066.19,1103.29,3.48
deploy87,0.0052,0.0049,-5.77,286.73,287.33,0.21
deploy88,0.0478,0.0509,6.49,429.24,440.23,2.56
